OBJECTID,StaType,StnType,ZipCode,State,City,Address,StationName,lon,lat,Code
377,Curbside Bus Stop only (no shelter),BUS,97006,OR,Hillsboro,2435 NE Town Center Drive,"Hillsboro, OR",-122.866305,45.537276,HLB
384,Curbside Bus Stop only (no shelter),BUS,21750,MD,Hancock,434 East Main Street,"Hancock, MD",-78.154315,39.695275,HNK
385,Station Building (with waiting room),BUS,77002,TX,Houston,2121 Main Street,"Houston, TX",-95.371614,29.748302,HOG
388,Station Building (with waiting room),BUS,97031,OR,Hood River,110 Railroad Street,"Hood River, OR",-121.51162,45.709641,HOO
392,Curbside Bus Stop only (no shelter),BUS,97906,OR,Harper,3459 U.S. Highway 20,"Harper, OR",-117.605297,43.855307,HRP
393,Curbside Bus Stop only (no shelter),BUS,95521,CA,Arcata,L K Wood Boulevard,"Arcata, CA",-124.081496,40.873347,HSU
398,Curbside Bus Stop only (no shelter),BUS,28532,NC,Havelock,201 Tourist Center Drive,"Havelock, NC",-76.926115,34.891191,HVL
399,Curbside Bus Stop only (no shelter),BUS,49329,MI,Howard City,117 West Williams Street,"Howard City, MI",-85.469631,43.398305,HWC
400,Curbside Bus Stop only (no shelter),BUS,92201,CA,Indio,82120 Highway 111,"Indio, CA",-116.233132,33.714863,IDO
402,Curbside Bus Stop only (no shelter),BUS,15705,PA,Indiana,711 Pratt Drive,"Indiana, PA",-79.160006,40.61314,INA
408,Station Building (with waiting room),BUS,28540,NC,Jacksonville,1300 North Marine Boulevard,"Jacksonville, NC",-77.40727,34.76693,JNC
409,Curbside Bus Stop only (no shelter),BUS,93529,CA,June Lake,Junction U.S. Highway 395 & State Highway 158,"June Lake, CA",-119.053991,37.812766,JNL
410,Curbside Bus Stop only (no shelter),BUS,53038,WI,Johnson Creek,575 Linmar Lane,"Johnson Creek, WI",-88.763099,43.089988,JOC
414,Curbside Bus Stop only (no shelter),BUS,97911,OR,Juntura,5838 U.S. Highway 20,"Juntura, OR",-118.080077,43.745252,JTR
415,Station Building (with waiting room),BUS,53545,WI,Janesville,3120 North Pontiac Drive,"Janesville, WI",-88.988186,42.719995,JVL
423,Curbside Bus Stop only (no shelter),BUS,93930,CA,King City,1350 Broadway Circle,"King City, CA",-121.136344,36.202547,KGC
424,Curbside Bus Stop only (no shelter),BUS,98346,WA,Kingston,11264 State Route 104,"Kingston - Eastbound, WA",-122.496288,47.796069,KGE
425,Curbside Bus Stop only (no shelter),BUS,49649,MI,Kingsley,119 East Main Street (Hwy 113),"Kingsley, MI",-85.535201,44.584797,KGS
426,Curbside Bus Stop only (no shelter),BUS,98346,WA,Kingston,10960 State Route 104,"Kingston - Westbound, WA",-122.500484,47.802025,KGW
427,Station Building (with waiting room),BUS,76541,TX,Killeen,200 East Avenue C,"Killeen, TX",-97.728617,31.121152,KIL
431,Curbside Bus Stop only (no shelter),BUS,5751,VT,Killington,228 East Mountain Road,"Killington, VT",-72.794305,43.627005,KLT
432,Station Building (with waiting room),BUS,28504,NC,Kinston,101 East New Bern Road,"Kinston, NC",-77.584478,35.243706,KNC
434,Curbside Bus Stop only (no shelter),BUS,49752,MI,Kinross Charter Twp,6737 M-80,"Kinross Charter Twp, MI",-84.506535,46.273752,KNS
435,Curbside Bus Stop only (no shelter),BUS,21638,MD,Grasonville,3206 Main Street,"Kent Island-Grasonville, MD",-76.240827,38.966498,KNT
437,Curbside Bus Stop only (no shelter),BUS,12943,NY,Keene Valley,1770 Route 73,"Keene Valley, NY",-73.786232,44.188528,KVL
440,Station Building (with waiting room),BUS,97850,OR,La Grande,2204 East Penn Avenue ,"La Grande, OR",-118.077612,45.326472,LAE
445,Curbside Bus Stop only (no shelter),BUS,49946,MI,L'Anse,102 East Broad Street,"L'Anse, MI",-88.453159,46.756951,LAN
447,Curbside Bus Stop only (no shelter),BUS,89111,NV,Las Vegas,5757 Wayne Newton Boulevard,"Las Vegas, NV",-115.148493,36.085973,LAS
448,Station Building (with waiting room),BUS,47901,IN,Lafayette,316 North 3rd Street,"Lafayette, IN",-86.894444,40.420668,LAT
451,Curbside Bus Stop only (no shelter),BUS,91214,CA,La Crescenta,6201 Honolulu Avenue,"La Crescenta, CA",-118.266511,34.231944,LCA
454,Curbside Bus Stop only (no shelter),BUS,97367,OR,Lincoln City,1725 NW 44th St.,"Lincoln City, OR",-124.010371,44.996526,LCO
455,Curbside Bus Stop only (no shelter),BUS,88005,NM,Las Cruces,300 West Lohman Avenue,"Las Cruces, NM",-106.78006,32.3055,LCR
456,Platform with Shelter,BUS,93534,CA,Lancaster,44812 Sierra Highway,"Lancaster, CA",-118.136432,34.6963,LCS
457,Curbside Bus Stop only (no shelter),BUS,4849,ME,Lincolnville,2512 Atlantic Highway,"Lincolnville, ME",-69.008642,44.282075,LCV
461,Curbside Bus Stop only (no shelter),BUS,95585,CA,Leggett,69501 Highway 101 North,"Leggett, CA",-123.727964,39.878226,LEG
462,Curbside Bus Stop only (no shelter),BUS,98826,WA,Leavenworth,200 Ward Strasse,"Leavenworth, WA",-120.644604,47.597678,LEV
467,Curbside Bus Stop only (no shelter),BUS,94550,CA,Livermore,2500 Railroad Avenue,"Livermore, CA",-121.767121,37.684915,LIV
469,Curbside Bus Stop only (no shelter),BUS,93245,CA,Lemoore,300 E Street,"Lemoore, CA",-119.784545,36.303131,LMC
474,Curbside Bus Stop only (no shelter),BUS,3251,NH,Lincoln,36 Main Street,"Lincoln, NH",-71.67471,44.038243,LNN
476,Curbside Bus Stop only (no shelter),BUS,89029,NV,Laughlin,2121 South Casino Drive,"Laughlin, NV",-114.575778,35.158568,LNV
478,Curbside Bus Stop only (no shelter),BUS,87506,NM,Los Alamos,124 State Highway 4,"Los Alamos, NM",-106.208804,35.827795,LOH
479,Curbside Bus Stop only (no shelter),BUS,93436,CA,Lompoc,111 South I Street,"Lompoc, CA",-120.459285,34.63834,LOM
481,Curbside Bus Stop only (no shelter),BUS,87544,NM,Los Alamos,109 Central Park Square,"Los Alamos, NM",-106.29992,35.881799,LOS
483,Curbside Bus Stop only (no shelter),BUS,97739,OR,La Pine,16515 Reed Road,"La Pine, OR",-121.499956,43.674176,LPN
485,Curbside Bus Stop only (no shelter),BUS,92253,CA,La Quinta,78822 Highway 111,"La Quinta, CA",-116.289964,33.710979,LQT
488,Curbside Bus Stop only (no shelter),BUS,82072,WY,Laramie,1952 North Banner Road,"Laramie, WY",-105.608549,41.32992,LRY
489,Curbside Bus Stop only (no shelter),BUS,17837,PA,Lewisburg,500 Market Street,"Lewisburg, PA",-76.887341,40.963073,LSB
492,Curbside Bus Stop only (no shelter),BUS,54601,WI,La Crosse,521 East Avenue N,"La Crosse, WI",-91.229332,43.817112,LSW
493,Curbside Bus Stop only (no shelter),BUS,15650,PA,Latrobe,148 Aviation Lane,"Latrobe, PA",-79.405407,40.272842,LTB
494,Curbside Bus Stop only (no shelter),BUS,3561,NH,Littleton,336 Cottage Street,"Littleton, NH",-71.76909,44.296787,LTL
496,Curbside Bus Stop only (no shelter),BUS,93543,CA,Littlerock,7225 Pearblossom Hwy,"Littlerock, CA",-118.00058,34.521339,LTR
497,Curbside Bus Stop only (no shelter),BUS,95454,CA,Laytonville,44900 Highway 101,"Laytonville, CA",-123.482019,39.686633,LTV
498,Station Building (with waiting room),BUS,40203,KY,Louisville,1211 West Broadway,"Louisville, KY",-85.772623,38.248724,LVL
499,Curbside Bus Stop only (no shelter),BUS,95541,CA,Lee Vining,30 Main Street,"Lee Vining, CA",-119.118687,37.955403,LVN
500,Curbside Bus Stop only (no shelter),BUS,17045,PA,Liverpool,U.S. Highway 11/15 & State Highway 104,"Liverpool, PA",-76.95427,40.620141,LVP
501,Curbside Bus Stop only (no shelter),BUS,17045,PA,Liverpool,1412 Susquehanna Trail,"Liverpool, PA",-76.994126,40.56632,LVR
502,Curbside Bus Stop only (no shelter),BUS,89101,NV,Las Vegas,624 South 1st Street,"Las Vegas, NV",-115.149734,36.164458,LVS
503,Curbside Bus Stop only (no shelter),BUS,89119,NV,Las Vegas,6675 Gilespie Street,"Las Vegas, NV",-115.163629,36.068464,LVT
506,Curbside Bus Stop only (no shelter),BUS,17044,PA,Lewistown,6 West Market Street,"Lewistown, PA",-77.574643,40.597123,LWB
507,Curbside Bus Stop only (no shelter),BUS,83501,ID,Lewiston,1920 Highway 128,"Lewiston, ID",-117.005923,46.426931,LWN
510,Curbside Bus Stop only (no shelter),BUS,97741,OR,Madras,1210 Southwest Highway 97,"Madras, OR",-121.133533,44.618898,MAD
511,Station Building (with waiting room),BUS,62959,IL,Marion,2315 W Main St,"Marion, IL",-88.955212,37.729643,MAI
512,Curbside Bus Stop only (no shelter),BUS,49701,MI,Mackinaw City,102 South Huron Ave.,"Mackinaw City, MI",-84.72577,45.781335,MAK
517,Curbside Bus Stop only (no shelter),BUS,83638,ID,McCall,411 Deinhard Lane,"McCall, ID",-116.094757,44.898761,MCA
523,Curbside Bus Stop only (no shelter),BUS,5255,VT,Manchester Center,75 Bonnet Street,"Manchester Center, VT",-73.058331,43.177711,MCV
525,Curbside Bus Stop only (no shelter),BUS,95345,CA,Midpines,6979 Highway 140,"Midpines, CA",-119.920202,37.544143,MDP
529,Curbside Bus Stop only (no shelter),BUS,42431,KY,Madisonville,99 Free Henry Ford Road,"Madisonville, KY",-87.450266,37.256047,MDV
530,Curbside Bus Stop only (no shelter),BUS,98272,WA,Monroe,19746 US Highway 2,"Monroe - Eastbound, WA",-121.966252,47.858216,MEE
534,Curbside Bus Stop only (no shelter),BUS,98272,WA,Monroe,19721 US Highway 2,"Monroe - Westbound, WA",-121.966193,47.858463,MEW
535,Curbside Bus Stop only (no shelter),BUS,97504,OR,Medford,1000 Terminal Loop Parkway,"Medford, OR",-122.874414,42.367913,MFA
536,Station Building (with waiting room),BUS,97501,OR,Medford,220 S. Front Street,"Medford, OR",-122.871538,42.324198,MFR
537,Station Building (with waiting room),BUS,36104,AL,Montgomery,495 Molton Street,"Montgomery, AL",-86.314801,32.379465,MGM
538,Platform with Shelter,BUS,95037,CA,Morgan Hill,17300 Depot Street,"Morgan Hill, CA",-121.650004,37.130085,MHC
539,Curbside Bus Stop only (no shelter),BUS,28557,NC,Morehead City,1001 Arendell Street,"Morehead City, NC",-76.71568,34.721383,MHD
541,Station Building (with waiting room),BUS,3101,NH,Manchester,119 Canal Street,"Manchester, NH",-71.466051,42.986893,MHT
542,Station Building (with waiting room),BUS,2557,MA,Oak Bluffs,1 Seaview Avenue,"Martha's Vineyard, MA",-70.555989,41.45793,MHV
545,Curbside Bus Stop only (no shelter),BUS,17059,PA,Mifflintown,9 Stop Plaza Drive,"Mifflintown, PA",-77.375012,40.578793,MIF
547,Curbside Bus Stop only (no shelter),BUS,5753,VT,Middlebury,130 Storrs Avenue,"Middlebury, VT",-73.174466,44.010209,MIY
550,Curbside Bus Stop only (no shelter),BUS,53207,WI,Milwaukee,5300 South Howell Avenue,"Milwaukee Airport-Buses, WI",-87.903077,42.947175,MKB
553,Station Building (with waiting room),BUS,61265,IL,Moline,1200 River Drive,"Moline, IL",-90.521104,41.506758,MLI
554,Curbside Bus Stop only (no shelter),BUS,98837,WA,Moses Lake,1810 East Kittleson Road,"Moses Lake, WA",-119.24536,47.101976,MLK
555,Curbside Bus Stop only (no shelter),BUS,93546,CA,Mammoth Lakes,1 Minaret Road,"Mammoth Lakes, CA",-119.0389,37.651389,MMK
557,Curbside Bus Stop only (no shelter),BUS,54751,WI,Menomonie,302 10th Avenue East,"Menomonie, WI",-91.926059,44.873665,MNM
558,Station Building (with waiting room),BUS,15146,PA,Monroeville,4210 William Penn Highway,"Monroeville, PA",-79.761749,40.438067,MNR
559,Curbside Bus Stop only (no shelter),BUS,13662,NY,Massena,15054 State Highway 37,"Massena, NY",-74.945391,44.923283,MNY
560,Curbside Bus Stop only (no shelter),BUS,83843,ID,Moscow,1006 Railroad Street,"Moscow, ID",-117.005388,46.725931,MOC
562,Curbside Bus Stop only (no shelter),BUS,81201,CO,Salida,23715 U.S. Highway 50,"Monarch Mountain, CO",-106.33176,38.512092,MOH
563,Curbside Bus Stop only (no shelter),BUS,93501,CA,Mojave,15900 Sierra Highway,"Mojave, CA",-118.173181,35.05249,MOJ
564,Curbside Bus Stop only (no shelter),BUS,49336,MI,Morley,4981 Northland Drive,"Morley, MI",-85.443821,43.539299,MOR
566,Curbside Bus Stop only (no shelter),BUS,92518,CA,Riverside,14160 Meridian Parkway,"Moreno Valley, CA",-117.288588,33.912758,MOV
568,Platform only (no shelter),BUS,97453,OR,Mapleton,10756 OR-126,"Mapleton, OR",-123.8575,44.026824,MPL
570,Station Building (with waiting room),BUS,48858,MI,Mt. Pleasant,300 East Broomfield Street,"Mt. Pleasant, MI",-84.772629,43.58182,MPT
571,Station Building (with waiting room),BUS,49855,MI,Marquette,1325 Commerce Drive,"Marquette, MI",-87.452499,46.557825,MQT
574,Curbside Bus Stop only (no shelter),BUS,95338,CA,Mariposa,Highway 140 and 7th Street,"Mariposa, CA",-119.966205,37.485747,MRM
575,Curbside Bus Stop only (no shelter),BUS,95338,CA,Mariposa,4974 Joe Howard Street,"Mariposa, CA",-119.974222,37.491268,MRP
576,Station Building (with waiting room),BUS,95901,CA,Marysville,858 I Street,"Marysville, CA",-121.597259,39.143721,MRV
577,Curbside Bus Stop only (no shelter),BUS,93940,CA,Monterey,500 Tyler Street ,"Monterey, CA",-121.894331,36.597611,MRY
578,Curbside Bus Stop only (no shelter),BUS,55111,MN,St. Paul,4300 Glumack Drive,"St. Paul-Minneapolis, MN",-93.210772,44.882625,MSL
579,Curbside Bus Stop only (no shelter),BUS,53706,WI,Madison,250 North Lake Street,"Madison, WI",-89.397612,43.071201,MSN
582,Curbside Bus Stop only (no shelter),BUS,54220,WI,Manitowoc,1701 South 41st Street,"Manitowoc, WI",-87.698759,44.078388,MTC
583,Curbside Bus Stop only (no shelter),BUS,49663,MI,Manton,102 South Michigan Avenue,"Manton, MI",-85.398401,44.410563,MTO
587,Curbside Bus Stop only (no shelter),BUS,62864,IL,Mt. Vernon,102 Potomac Boulevard,"Mt. Vernon, IL",-88.956426,38.313911,MVI
590,Curbside Bus Stop only (no shelter),BUS,54143,WI,Marinette,2900 Roosevelt AVe,"Marinette, WI",-87.658441,45.074637,MWI
591,Curbside Bus Stop only (no shelter),BUS,93940,CA,Monterey,886 Cannery Row,"Monterey, CA",-121.90164,36.61768,MYA
592,Curbside Bus Stop only (no shelter),BUS,93940,CA,Monterey,1 Old Golf Course Road,"Monterey, CA",-121.877311,36.591861,MYH
593,Curbside Bus Stop only (no shelter),BUS,93940,CA,Monterey,438 Calle Principal,"Monterey, CA",-121.895837,36.599285,MYM
595,Curbside Bus Stop only (no shelter),BUS,93940,CA,Monterey,351 Fremont Street,"Monterey, CA",-121.892522,36.595379,MYT
597,Curbside Bus Stop only (no shelter),BUS,83687,ID,Nampa,3319 Garrity Boulevard,"Nampa, ID",-116.529658,43.588257,NAM
598,Station Building (with waiting room),BUS,2554,MA,Nantucket,1 Steamboat Wharf,"Nantucket, MA",-70.095556,41.28598,NAN
599,Curbside Bus Stop only (no shelter),BUS,94559,CA,Napa,625 Burnell Street,"Napa, CA",-122.280022,38.297617,NAP
602,Curbside Bus Stop only (no shelter),BUS,28560,NC,New Bern,203 South Front Street,"New Bern, NC",-77.036948,35.104416,NBR
604,Curbside Bus Stop only (no shelter),BUS,75965,TX,Nacogdoches,9855 US Highway 259 North,"Nacogdoches, TX",-94.675886,31.700274,NCG
606,Station Building (with waiting room),BUS,3860,NH,North Conway,2760 White Mountain Highway,"North Conway, NH",-71.129461,44.054485,NCW
609,Curbside Bus Stop only (no shelter),BUS,17069,PA,New Buffalo,3298 Susquehanna Trail,"New Buffalo, PA",-76.98243,40.447646,NFF
613,Platform with Shelter,BUS,91321,CA,Santa Clarita,24300 Railroad Avenue,"Santa Clarita-Newhall, CA",-118.527338,34.379451,NHL
621,Curbside Bus Stop only (no shelter),BUS,97133,OR,North Plains,31450 NW Commercial Street,"North Plains, OR",-123.001024,45.597696,NPL
623,Station Building (with waiting room),BUS,97365,OR,Newport,169 Southwest Coast Hwy,"Newport, OR",-124.054486,44.635191,NPO
629,Curbside Bus Stop only (no shelter),BUS,3064,NH,Nashua,8 North Southwood Drive,"Nashua, NH",-71.503866,42.790718,NSH
630,Station Building (with waiting room),BUS,37203,TN,Nashville,709 Rep John Lewis Way South,"Nashville, TN",-86.77305,36.152068,NVL
632,Station Building (with waiting room),BUS,2740,MA,New Bedford,49 State Pier,"New Bedford, MA",-70.919679,41.635165,NWF
634,Station Building (with waiting room),BUS,2840,RI,Newport,39 America's Cup Avenue,"Newport, RI",-71.317116,41.488656,NWP
638,Curbside Bus Stop only (no shelter),BUS,93644,CA,Oakhurst,40530 Highway 41,"Oakhurst, CA",-119.646282,37.335324,OAH
639,Curbside Bus Stop only (no shelter),BUS,97534,OR,O'Brien,33096 Redwood Parkway,"O'Brien, CA",-123.703685,42.066877,OBR
640,Curbside Bus Stop only (no shelter),BUS,34470,FL,Ocala,531 Northeast First Avenue,"Ocala, FL",-82.135282,29.192235,OCA
641,Station Building (with waiting room),BUS,21842,MD,Ocean City,12848 Ocean Gateway,"Ocean City, MD",-75.102911,38.334867,OCM
642,Curbside Bus Stop only (no shelter),BUS,54153,WI,Oconto,517 Smith Avenue,"Oconto, WI",-87.887149,44.879381,OCO
643,Curbside Bus Stop only (no shelter),BUS,21811,MD,Berlin,11011 Manklin Creek Road,"Ocean Pines-Berlin, MD",-75.164144,38.37621,OCP
644,Station Building (with waiting room),BUS,84401,UT,Ogden,2393 Wall Avenue,"Ogden, UT",-111.979027,41.223128,OGD
649,Platform only (no shelter),BUS,97463,OR,Oakridge,48067 Hwy 58,"Oakridge, OR",-122.467237,43.745008,OKR
654,Station Building (with waiting room),BUS,97914,OR,Ontario,842 Southeast 1st Avenue,"Ontario, OR",-116.951325,44.024071,ONT
658,Curbside Bus Stop only (no shelter),BUS,4469,ME,Orono,8 Gym Drive,"Orono, ME",-68.670015,44.903283,ORO
659,Curbside Bus Stop only (no shelter),BUS,95965,CA,Oroville,Hwy 70 and Grand Avenue,"Oroville, CA",-121.572102,39.520057,ORV
663,Curbside Bus Stop only (no shelter),BUS,54902,WI,Oshkosh,525 West 20th Avenue,"Oshkosh, WI",-88.551236,43.994303,OSH
664,Curbside Bus Stop only (no shelter),BUS,54901,WI,Oshkosh,208 Osceola Street,"Oshkosh, WI",-88.548899,44.022747,OSU
665,Curbside Bus Stop only (no shelter),BUS,97368,OR,Otis,5280 Salmon River Hwy,"Otis, OR - Eastbound",-123.88085,45.010214,OTE
667,Curbside Bus Stop only (no shelter),BUS,97368,OR,Otis,5283 Salmon River Hwy,"Otis, OR - Westbound",-123.881289,45.010161,OTW
668,Station Building (with waiting room),BUS,48867,MI,Owosso,109 Comstock Street,"Owosso, MI",-84.170085,42.996636,OWO
670,Station Building (with waiting room),BUS,42001,KY,Paducah,2719 Irvin Cobb Avenue,"Paducah, KY",-88.575817,37.056916,PAD
674,Curbside Bus Stop only (no shelter),BUS,91101,CA,Pasadena,168 South Los Robles Avenue,"Pasadena, CA",-118.141295,34.143079,PAS
676,Curbside Bus Stop only (no shelter),BUS,33980,FL,Port Charlotte,900 Kings Highway,"Port Charlotte, FL",-82.050609,27.016842,PCH
678,Curbside Bus Stop only (no shelter),BUS,95667,CA,Placerville,2894 Mosquito Road,"Placerville, CA",-120.789419,38.73302,PCV
679,Curbside Bus Stop only (no shelter),BUS,97218,OR,Portland,7000 Northwest Airport Way,"Portland, OR",-122.592529,45.588232,PDA
680,Curbside Bus Stop only (no shelter),BUS,92260,CA,Palm Desert,44449 Towne Center Way ,"Palm Desert, CA",-116.398519,33.725715,PDC
681,Curbside Bus Stop only (no shelter),BUS,93907,CA,Prunedale,Highway 156 and Hwy 101,"Prunedale, CA",-121.671367,36.789513,PDL
683,Station Building (with waiting room),BUS,97801,OR,Pendleton,2101 SE Court Avenue,"Pendleton, OR",-118.76318,45.673293,PEN
684,Station Building (with waiting room),BUS,15222,PA,Pittsburgh,55 11th Street,"Pittsburgh, PA",-79.993414,40.444378,PGB
686,Station Building (with waiting room),BUS,85034,AZ,Phoenix,3400 East Sky Harbor Boulevard,"Phoenix, AZ",-112.013047,33.43639,PHA
687,Station Building (with waiting room),BUS,85034,AZ,Phoenix,2115 East Buckeye Road,"Phoenix, AZ",-112.035623,33.436395,PHG
690,Station Building (with waiting room),BUS,61602,IL,Peoria,407 Southwest Adams Street,"Peoria, IL",-89.593643,40.689364,PIA
693,Curbside Bus Stop only (no shelter),BUS,61625,IL,Peoria,1501 West Bradley Avenue,"Peoria, IL",-89.61482,40.699375,PIU
695,Curbside Bus Stop only (no shelter),BUS,80470,CO,Pine,76 Mount Evans Boulevard,"Pine Junction, CO",-105.39697,39.467318,PJT
697,Curbside Bus Stop only (no shelter),BUS,13142,NY,Pulaski,3739 State Route 13,"Pulaski, NY",-76.11276,43.553987,PLK
699,Curbside Bus Stop only (no shelter),BUS,16866,PA,Philipsburg,4th & Alder Streets,"Philipsburg, PA",-78.223033,40.901,PLP
701,Curbside Bus Stop only (no shelter),BUS,93550,CA,Palmdale,39000 Clock Tower Plaza Drive,"Palmdale, CA",-118.120737,34.591238,PMD
702,Curbside Bus Stop only (no shelter),BUS,3264,NH,Plymouth,83 Main Street,"Plymouth, NH",-71.687691,43.757848,PMO
713,Curbside Bus Stop only (no shelter),BUS,17864,PA,Port Trevorton,5254 South Susquehanna Trail,"Port Trevorton, PA",-76.877813,40.693552,PRE
714,Curbside Bus Stop only (no shelter),BUS,92570,CA,Perris,121 South C Street,"Perris, CA",-117.229439,33.784679,PRI
718,Curbside Bus Stop only (no shelter),BUS,49770,MI,Petsoskey,1850 Anderson Road,"Petoskey, MI",-84.97136,45.350252,PSK
720,Curbside Bus Stop only (no shelter),BUS,92262,CA,Palm Springs,3400 East Tahquitz Canyon Way,"Palm Springs, CA",-116.508939,33.824009,PSP
721,Curbside Bus Stop only (no shelter),BUS,92262,CA,Palm Springs,190 North Indian Canyon Drive,"Palm Springs, CA",-116.54544,33.824643,PSS
722,Curbside Bus Stop only (no shelter),BUS,49769,MI,Pellston,45 South US Hwy 31,"Pellston, MI",-84.783762,45.550636,PST
723,Curbside Bus Stop only (no shelter),BUS,98363,WA,Port Angeles,123 East Front Street,"Port Angeles, WA",-123.431523,48.11978,PTA
725,Curbside Bus Stop only (no shelter),BUS,94952,CA,Petaluma,19 Copeland Street,"Petaluma, CA",-122.635793,38.2365,PTC
726,Curbside Bus Stop only (no shelter),BUS,13676,NY,Potsdam,19 Main Street,"Potsdam, NY",-74.985477,44.668619,PTD
728,Curbside Bus Stop only (no shelter),BUS,98368,WA,Port Townsend,63 4 Corners Road,"Port Townsend, WA",-122.818437,48.049493,PTO
